no;title;author;journal;number;cites;year;cid;pubid;id
1;Fuzzy Multi-Attribute Decision Making (Fuzzy MADM);S Kusumadewi, S Hartati, A Harjoko, R Wardoyo;Yogyakarta: Graha Ilmu;78-79;1087;2006;6007622017498764110;u5HHmVD_uO8C;BlW48Z4AAAAJ
2;A method for iris recognition based on 1d coiflet wavelet;A Harjoko, S Hartati, H Dwiyasa;world academy of science, engineering and technology;56 (24), 126-129;35;2009;13477421069150740093;u-x6o8ySG0sC;BlW48Z4AAAAJ
3;A neural network based facial expression recognition using fisherface;Z Abidin, A Harjoko;International Journal of Computer Applications;59 (3);27;2012;3437746375037166307;zYLM7Y9cAGgC;BlW48Z4AAAAJ
4;Electre methods in solving group decision support system bioinformatics on gene mutation detection simulation;S Hartati, R Wardoyo, A Harjoko, J Palembang-prabumulih, O Ilir;;;24;2011;6676762355449676720;qjMakFHDy7sC;BlW48Z4AAAAJ
5;Implementasi Pengenalan Wajah Menggunakan PCA (Principal Component Analysis);DE Pratiwi, A Harjoko;IJEIS (Indonesian Journal of Electronics and Instrumentation Systems);3 (2 …;17;2013;940260341825285398;9ZlFYXVOiuMC;BlW48Z4AAAAJ
6;Kid's song classification based on mood parameters using K-Nearest Neighbor classification method and Self Organizing Map;KC Dewi, A Harjoko;;2010 International Conference on Distributed Frameworks for Multimedia …;17;2010;5335999082509111674;IjCSPb-OGe4C;BlW48Z4AAAAJ
7;Batik image retrieval based on similarity of shape and texture characteristics;AH Rangkuti, RB Bahaweres, A Harjoko;;2012 International Conference on Advanced Computer Science and Information …;16;2012;17999257736329527265;W7OEmFMy1HYC;BlW48Z4AAAAJ
8;Klasifikasi Massa pada Citra Mammogram Berdasarkan Gray Level Cooccurence Matrix (GLCM);R Listia, A Harjoko;IJCCS (Indonesian Journal of Computing and Cybernetics Systems);8 (1), 59-68;15;2014;7404289504769087109;Se3iqnhoufwC;BlW48Z4AAAAJ
9;Metode Segmentasi Paru-paru dan Jantung Pada Citra X-Ray Thorax;A Mardhiyah, A Harjoko;IJEIS (Indonesian Journal of Electronics and Instrumentation Systems);1 (2 …;15;2011;4180541313245287710;HDshCWvjkbEC;BlW48Z4AAAAJ
10;Ontology-based why-question analysis using lexico-syntactic patterns;AE Karyawati, E Winarko, A Azhari, A Harjoko;International Journal of Electrical and Computer Engineering;5 (2), 318;13;2015;13068174547516685424;Mojj43d5GZwC;BlW48Z4AAAAJ
11;Improved real-time face recognition based on three level wavelet decomposition-principal component analysis and mahalanobis distance;E Winarno, A Harjoko, AM Arymurthy, E Winarko;;;13;2014;8214803341265588891;Y5dfb0dijaUC;BlW48Z4AAAAJ
12;Haar Cascade Classifier dan Algoritma Adaboost untuk Deteksi Banyak Wajah dalam Ruang Kelas;H Santoso, A Harjoko;Jurnal Teknologi;6 (2), 108-115;13;2013;17000513342815677254;mvPsJ3kp5DgC;BlW48Z4AAAAJ
13;Klasifikasi citra batik menggunakan jaringan syaraf tiruan berdasarkan gray level co-occurrence matrices (GLCM);AA Kasim, A Harjoko;Jurnal Fakultas Hukum UII;;12;2014;2430784916918815695;rO6llkc54NcC;BlW48Z4AAAAJ
14;Analysis of image similarity with CBIR concept using wavelet transform and threshold algorithm;AH Rangkuti, N Hakiem, RB Bahaweres, A Harjoko, AE Putro;;2013 IEEE Symposium on Computers & Informatics (ISCI), 122-127;12;2013;5954568921051660556;Tyk-4Ss8FVUC;BlW48Z4AAAAJ
15;Pengenalan Karakter Plat Nomor Mobil Secara Real Time;I Ruslianto, A Harjoko;IJEIS (Indonesian Journal of Electronics and Instrumentation Systems);1 (2 …;12;2011;2908547045976064949;iH-uZ7U-co4C;BlW48Z4AAAAJ
16;AUTOMATIC GLAUCOMA DETECTION BASED ON THE TYPE OF FEATURES USED: A REVIEW.;A Septiarini, A Harjoko;Journal of Theoretical & Applied Information Technology;72 (3);11;2015;14196215482888681507;kzcrU_BdoSEC;BlW48Z4AAAAJ
17;Feature selection of the combination of porous trabecular with anthropometric features for osteoporosis screening;EI Sela, S Hartati, A Harjoko, R Wardoyo, M Mudjosemedi;International Journal of Electrical and Computer Engineering;5 (1), 78;11;2015;8034124979066934966;M05iB0D1s5AC;BlW48Z4AAAAJ
18;Content based batik image retrieval;H Rangkuti, A Harjoko, AE Putro;;;11;2014;17314702817590389717;PELIpwtuRlgC;BlW48Z4AAAAJ
19;The digital microscope and its image processing utility;S Hartati, A Harjoko, TW Supardi;TELKOMNIKA (Telecommunication Computing Electronics and Control);9 (3), 565-574;11;2013;9477771937783783650;MXK_kJrjxJIC;BlW48Z4AAAAJ
20;ELECTRE-entropy method in group decision support system modelto gene mutation detection;S Hartati, R Wardoyo, A Harjoko;International Journal of Advanced Research in Artificial Intelligence;1 (1 …;11;2012;1144742468247912460;7PzlFSSx8tAC;BlW48Z4AAAAJ
21;Palmprint verification based on fractal codes and fractal dimensions;D Putra, IK Gede, A Susanto, A Harjoko, TS Widodo;Proc of the;8th IASTED International Conference Signal and Image Processing …;11;2006;18276399086203025959;9yKSN-GCB0IC;BlW48Z4AAAAJ
22;Pemrosesan Citra Digital untuk Klasifikasi Mutu Buah Pisang Menggunakan Jaringan Saraf Tiruan;YP Wiharja, A Harjoko;Indonesian Journal of Electronics and Instrumentations Systems (IJEIS);4 (1 …;10;2014;1876079580968381812;XiVPGOgt02cC;BlW48Z4AAAAJ
23;Segmentasi Citra Menggunakan Watershed Dan Itensitas Filtering Sebagai Pre Processing;M Murinto, A Harjoko;Seminar Nasional Informatika (SEMNASIF);1 (1);9;2015;10215074806602152176;mKu_rENv82IC;BlW48Z4AAAAJ
24;Analisis Tekstur untuk Klasifikasi Motif Kain (Studi Kasus Kain Tenun Nusa Tenggara Timur);NM Setiohardjo, A Harjoko;IJCCS (Indonesian Journal of Computing and Cybernetics Systems);8 (2), 177-188;9;2014;6198718902495644980;aqlVkmm33-oC;BlW48Z4AAAAJ
25;Optic disc and cup segmentation by automatic thresholding with morphological operation for glaucoma evaluation;A Septiarini, A Harjoko, R Pulungan, R Ekantini;Signal, Image and Video Processing;11 (5), 945-952;8;2017;16209528675070695453;LO7wyVUgiFcC;BlW48Z4AAAAJ
26;Batik classification with artificial neural network based on texture-shape feature of main ornament;AA Kasim, R Wardoyo, A Harjoko;International Journal of Intelligent Systems and Applications;9 (6), 55;7;2017;2113766442487582956;OP4eGU-M3BUC;BlW48Z4AAAAJ
27;Traffic sign detection based on HOG and PHOG using binary SVM and k-NN;A Sugiharto, A Harjoko;;2016 3rd International Conference on Information Technology, Computer, and …;7;2016;13165213536584940296;yMeIxYmEMEAC;BlW48Z4AAAAJ
