no;title;author;journal;number;cites;year;cid;pubid;id
23;Hiperglikemia Tidak Menyebabkan Perubahan Bobot Badan dan Jumlah Neuron Mienterik Nitrergik Usus Halus Tikus Wistar (Rattus norvegicus);A Hana, P Astuti, YH Fibrianto, S Sarmin, CM Airin, T Tauhid;Jurnal Sain Veteriner;36 (2), 258-265;0;2018;#N/A;vV6vV6tmYwMC;2eOI0ncAAAAJ
24;PCS-12 Complex Oligosaccharide Detected in the Lingua of Hystrix javanica by Lectin Histochemistry;T Budipitojo, YK Adi, YH Fibrianto;Hemera Zoa;;0;2018;#N/A;lSLTfruPkqcC;2eOI0ncAAAAJ
25;PCS-11 Mesenchymal Stem Cell-Conditioned Medium Improve the Recovery of Pancreatic α and β Cells in Type 1 Diabetes Mellitus;DBH Masithoh, YH Fibrianto, M Anggita, WS Nugroho, T Budipitojo;Hemera Zoa;;0;2018;#N/A;RYcK_YlVTxYC;2eOI0ncAAAAJ
26;PCS-10 The Features of Seminiferous Tubule Cells in Rat Testicular Dysfunction Induce by Secretome Based On Cytoskeletal Protein Profile;SA Prihatno, I Padeta, AD Larasati, B Sundari, A Hidayati, YH Fibrianto, ...;Hemera Zoa;;0;2018;#N/A;J_g5lzvAfSwC;2eOI0ncAAAAJ
27;Effects of secretome on cisplatin-induced testicular dysfunction in rats;SA Prihatno, I Padeta, AD Larasati, B Sundari, A Hidayati, YH Fibrianto, ...;Veterinary world;11 (9), 1349;0;2018;#N/A;RGFaLdJalmkC;2eOI0ncAAAAJ
28;Immunohistochemistry Evaluation of TGF-β1, SOX-9, Type II Collagen and Aggrecan in Cartilage Lesions Treated with Conditioned Medium of Umbilical Cord Mesencyhmal Stem Cells in …;B Soetjahjo, M Hidayat, H Sujuti, Y Fibrianto;Journal of Tropical Life Science;8 (1);0;2018;#N/A;k_IJM867U9cC;2eOI0ncAAAAJ
29;Effects of secretome on cisplatin-induced testicular dysfunction in rats, Veterinary World, 11 (9): 1349-1356;SA Prihatno, I Padeta, AD Larasati, B Sundari, A Hidayati, YH Fibrianto, ...;Abstract;;0;2018;#N/A;70eg2SAEIzsC;2eOI0ncAAAAJ
30;The Significant Effect of Conditioned Medium of Umbilical Cord Mesenchymal Stem Cells in Histological Improvement of Cartilage Defect in Wistar Rats;B Soetjahjo, M Hidayat, H Sujuti, YH Fibrianto;TURKISH JOURNAL OF IMMUNOLOGY;6 (2), 57-64;0;2018;#N/A;ns9cj8rnVeAC;2eOI0ncAAAAJ
31;Kadar Malondialdehid Tikus Diabetes Melitus Tipe 2 dengan Terapi Ekstrak Media Penumbuh Sel Punca Mesenkimal;I Fitriana, AD Wijayanti, PW Sari, RGD Satria, DCB Setiawan, ...;Acta VETERINARIA Indonesiana;5 (1), 29-36;0;2017;#N/A;eQOLeE2rZwMC;2eOI0ncAAAAJ
32;Comparison of the Number of Cumulus Cells and the Expression of LH Receptor, Caspase 3 and P53 with the Success in Oocyte Maturation in the Process of In Vitro Maturation After …;A Amansyah, T Tanjung, HS Siregar, YH Fibrianto;Advanced Science Letters;23 (7), 6755-6757;0;2017;#N/A;dhFuZR0502QC;2eOI0ncAAAAJ
33;TEMPORARY RECOVERY OF PANCREATIC Β-CELLSIN TYPE 2 DIABETES MELLITUS INDUCED MESENCHYMAL STEM CELL-CONDITIONED MEDIUM;WS Nugroho, DL Kusindarta, H Susetya, I Fitriana, TW Pangestiningsih, ...;THE;6 th INDONESIAN BIOTECHNOLOGY CONFERENCE, 515;0;2017;#N/A;NMxIlDl6LWMC;2eOI0ncAAAAJ
34;KAJIAN MOLEKULER LUMBA-LUMBA HIDUNG BOTOL (Tursiops sp.) ASAL LAUT JAWA BERDASAR URUTAN GEN CYTOCHROME C OXIDASE SUB-UNIT II (COX II)(Molecular Studies of Bottlenose Dolphins …;R Widayanti, YH Fibrianto;Jurnal Kedokteran Hewan-Indonesian Journal of Veterinary Sciences;10 (1), 5-12;0;2016;#N/A;UeHWp8X0CEIC;2eOI0ncAAAAJ
35;Gut endocrine cells in the stomach of Sunda Porcupines (Hystrix javanica);T Budipitojo, YH Fibrianto, GT Mulyani;Asian J. Anim. Sci;10, 268-272;0;2016;#N/A;M05iB0D1s5AC;2eOI0ncAAAAJ
36;The profile of neoral nitrergic in the coecum of broiler infected with Emeria tenella.;A Hana, P Astuti, YH Fibrianto, CM Airin;Jurnal Veteriner;16 (4), 468-473;0;2015;#N/A;YsMSGLbcyi4C;2eOI0ncAAAAJ
37;Profil Saraf Nitrergik Sekum Ayam Pedaging yang Diinfeksi Eimeria tenella (THE PROFILE OF NEORAL NITRERGIC IN THE COECUM OF BROILER INFECTED WITH Emeria tenella);A Hana, P Astuti, YH Fibrianto, CM Airin;Jurnal Veteriner;16 (4), 468-473;0;2015;#N/A;qjMakFHDy7sC;2eOI0ncAAAAJ
38;Studi Sistem Respirasi dan Kajian Mikrobiologis Lumba-lumba Hidung Botol Indo Pasifik (Tursiops aduncus) dari Perairan Laut Jawa;GT Mulyani, YH Fibrianto, T Budipitojo, A Indrawati;Acta VETERINARIA Indonesiana;2 (1), 7-11;0;2014;#N/A;u-x6o8ySG0sC;2eOI0ncAAAAJ
39;Pemasakan Oosit Anjing (Canis familiarsis pada Stadium Anestrus dan Diestrus pada Media Maturasi yang Diperkaya dengan Cairan Folikel Sapi 10% dengan Penambahan Follicle …;YH Fibrianto, A Hana, TW Pangestiningsih, PY Wibowo, CM Airin;Jurnal Sain Veteriner;28 (1);0;2013;#N/A;8k81kl-MbHgC;2eOI0ncAAAAJ
40;Effects of various glycerol concentrations and thawing temperatures on CASA parameters and acrosomal integrity of frozen-thawed canine spermatozoa;HJ Kim, BC Lee, G Jang, HJ Oh, JH Lee, KS Park, KB Lee, MK Kim, ...;Cryobiology;;0;2013;#N/A;-f6ydRqryjwC;2eOI0ncAAAAJ
41;Effects of various glycerol concentrations and thawing temperatures on CASA parameters and acrosomal integrity of frozen-thawed canine spermatozoa;HJ Kim, BC Lee, G Jang, HJ Oh, JH Lee, KS Park, KB Lee, MK Kim, ...;Cryobiology;;0;2013;#N/A;qUcmZB5y_30C;2eOI0ncAAAAJ
42;TINGKAH LAKU MENYUSU DAN MAKAN ANAK LUMBA-LUMBA HIDUNG BOTOL (Tursiops aduncus) DALAM CAPTIVITY EX SITU;H RAKHMAWATI;Universitas Gadjah Mada;;0;2013;#N/A;mVmsd5A6BfQC;2eOI0ncAAAAJ
43;Method for producing cloned dog;BC Lee, SK Kang, DY Kim, MK Kim, G Jang, HJ Oh, MS Hossein, F Yuda, ...;US Patent;8,124,832;0;2012;#N/A;bEWYMUwI8FkC;2eOI0ncAAAAJ
44;Randomised placebo-controlled trial of use of topical recombinant bovine basic fibroblast growth factor for second-degree burns.;I Padeta, WS Nugroho, DL Kusindarta, YH Fibrianto, T Budipitojo, ...;Asian Journal of Animal and Veterinary Advances;12 (3), 142-149;0;2012;#N/A;blknAaTinKkC;2eOI0ncAAAAJ
45;Pengaruh Penangkaran terhadap Profil Eritrosit Lumba-lumba Hidung Botol dari Perairan Laut J awa= The Influence of the Captivity in Bottlenose Dolphin Erythrocytes Profile from …;GT Mulyani, YH Fibrianto, T Budipitojo;Jurnal Sain Veteriner;30 (2012);0;2012;#N/A;hqOjcs7Dif8C;2eOI0ncAAAAJ
46;Pengaruh Penambahan Serum Sapi Pada Media Kultur Terhadap Kompetensi Meiosis Oositanjing Dari Berbagai Stadium Estrus Secara in Vitro;YH Fibrianto, CM Airin, A Anindito, N Rachmawati;Jurnal Sain Veteriner;29 (1);0;2011;#N/A;9yKSN-GCB0IC;2eOI0ncAAAAJ
47;Cloned Canines and Method for Producing Thereof;WS Hwang, BC Lee, SK Kang, MK Kim, G Jang, HJ Oh, HJ Kim, JJ Kim, ...;US Patent App.;11/989,502;0;2010;#N/A;QIV2ME_5wuYC;2eOI0ncAAAAJ
48;Pembentukan tim stem sel Universitas Gadjah Mada dan Isolasi, purifikasi, dan plurifikasi progenitor adult stem sel;YH Fibrianto;text;;0;2009;#N/A;roLk4NBRz8UC;2eOI0ncAAAAJ
49;Perbandingan Pengaruh Penambahan Cairan Folikel Sapi dengan Babi terhadap Maturasi Oosit Anjing (Canis familiarsis) secara in Vitro dari Stadium Estrus Ovarium;YH Fibrianto, TW Pangestiningsih, A Hana, CM Airin, N Rahmawati;Jurnal Sain Veteriner;27 (2);0;2009;#N/A;LkGwnXOMwfcC;2eOI0ncAAAAJ
50;Influence of Reproductive Status, Serum Type and Estradiol-17β Supplementation on the in vitro Maturation of Canine Oocytes;FY Heru, MK Kim;Korean Journal of Agricultural Science;35 (2), 167-176;0;2008;#N/A;7PzlFSSx8tAC;2eOI0ncAAAAJ
51;In vivo ならびに In vitro で成熟させた異なる生殖周期に採取した犬の卵母細胞中のグルタチオン濃度 (臨床繁殖学);MK Kim, MS Hossein, HJ Oh, HY FIBRIANTO, G JANG, HJ KIM, SG HONG, ...;The journal of veterinary medical science;69 (6), 627-632;0;2007;#N/A;aqlVkmm33-oC;2eOI0ncAAAAJ
52;345 EFFECT OF FOLLICLE STIMULATING HORMONE AND HUMAN CHORIONIC GONADOTROPHIN ON THE IN VITRO MATURATION OF CANINE OOCYTES;MK Kim, HJ Oh, YH Fibrianto, G Jang, HJ Kim, SG Hong, JE Park, ...;Reproduction, Fertility and Development;19 (1), 288-288;0;2007;#N/A;4JMBOYKVnBMC;2eOI0ncAAAAJ
53;Developmental technology: Dogs cloned from adult somatic cells (vol 436, pg 641, 2005);BC Lee, MK Kim, G Jang, HJ Oh, F Yuda, HJ Kim, MH Shamim, JJ Kim, ...;NATURE;440 (7081), 164-164;0;2006;#N/A;e5wmG9Sq2KIC;2eOI0ncAAAAJ
54;234 POTENTIAL SEASONAL INFLUENCE ON THE RECOVERY OF IN VIVO-MATURED CANINE OOCYTES BY FLUSHING FALLOPIAN TUBES;MS Hossein, G Jang, YH Fibrianto, HJ Oh, HJ Kim, SK Kang, BC Lee, ...;Reproduction, Fertility and Development;18 (2), 225-225;0;2006;#N/A;RHpTSmoSYBkC;2eOI0ncAAAAJ
55;337 EFFECTS OF CANINE SYNTHETIC OVIDUCT FLUID MEDIUM SUPPLEMENTED WITH THE VARIOUS ENERGY SUBSTRATES ON IN VITRO MATURATION OF CANINE OOCYTES;HJ Oh, MK Kim, YH Fibrianto, G Jang, HJ Kim, MS Hossein, ES Lee, ...;Reproduction, Fertility and Development;18 (2), 276-276;0;2006;#N/A;_Qo2XoVZTnwC;2eOI0ncAAAAJ
56;In vitro oocyte maturation and intergeneric somatic cell cloning in dogs;YH Fibrianto;서울대학교 대학원;;0;2006;#N/A;WF5omc3nYNoC;2eOI0ncAAAAJ
57;Effect of Green Fluorescent Protein (GFP) on the Development of Canine Intergeneric Embryo= Pengaruh Green Fluorescent Protein (GFP) Pada Perkembangan Anjing Dari Embryo …;YH Fibrianto;Jurnal Sain Veteriner;24 (1);0;2006;#N/A;d1gkVwhDpl0C;2eOI0ncAAAAJ
58;Dogs Cloned from Adult Cells by Nuclear Transfer;BC Lee, MK Kim, G Jang, HJ Oh, F Yuda, HJ Kim, MH Shamim, JJ Kim, ...;한국발생생물학회 심포지움;5, 23-25;0;2005;#N/A;mB3voiENLucC;2eOI0ncAAAAJ
59;Dogs cloned from adult somatic cells (vol 436, pg 641, 2005);BC Lee, MK Kim, G Jang, HJ Oh, F Yuda, HJ Kim, MH Shamin, JJ Kim, ...;NATURE;436 (7054), 1102-1102;0;2005;#N/A;iH-uZ7U-co4C;2eOI0ncAAAAJ
60;Developmental technology: Dogs cloned from adult somatic cells (Corrigendum);BC Lee, MK Kim, G Jang, HJ Oh, F Yuda, HJ Kim, MH Shamim, JJ Kim, ...;NATURE-LONDON-;1 (7054), 1102-1102;0;2005;#N/A;TFP_iSt0sucC;2eOI0ncAAAAJ
61;The effect of glycosaminoglycans and hormonal supplement on meiotic resumption of canine oocyte.;YH Fibrianto, MS Hossein, HJ Oh, J Goo, HJ Kim, MK Kim, SK Kang, ...;BIOLOGY OF REPRODUCTION;216-216;0;2005;#N/A;j3f4tGmQtD8C;2eOI0ncAAAAJ
62;Effects of Canine Serum Obtained from Different Estrus Cycle on In Vitro Maturation of Canine Oocytes;HJ Oh, MK Kim, YH Fibrianto, G Jang, HJ Kim, MS Hossein, SK Kang, ...;한국발생생물학회 심포지움;4, 83-84;0;2004;#N/A;hC7cP41nSMkC;2eOI0ncAAAAJ
63;Detection of Optimal Time for Ovulation and Collecting In Vivo Matured Canine Oocytes;MK Kim, G Jang, HJ Oh, YH Fibrianto, HJ Kim, MS Hossein, SK Kang, ...;한국발생생물학회 심포지움;4, 49-50;0;2004;#N/A;IWHjjKOFINEC;2eOI0ncAAAAJ
64;The distribution of gastrin, somatostatin and glucagon immunoreactive (IR) cells in ostrich stomach during the pre‐and post‐hatching period.;T Budipitojo, YH Fibrianto, GT Mulyani, SE Schonhoff, M Giel-Moloney, ...;Asian Journal of Animal Sciences;10 (4-5), 2639-2644;0;2004;#N/A;YFjsv_pBGBYC;2eOI0ncAAAAJ
65;316 EFFECTS OF ESTRADIOL-17β AND PROGESTERONE SUPPLEMENT ON THE RESUMPTION OF MEIOSIS OF CANINE OOCYTES MATURED IN VITRO;MK Kim, YH Fibrianto, HJ Oh, G Jang, KS Lee, SK Kang, BC Lee, ...;Reproduction, Fertility and Development;16 (2), 277-278;0;2003;#N/A;HDshCWvjkbEC;2eOI0ncAAAAJ
66;Comparative histochemistry of gastrointestinal mucosubstances.;T Budipitojo, YH Fibrianto, GT Mulyani, DM Smith, RC Grasty, ...;Asian Journal of Animal and Veterinary Advances;11 (11), 348-359;0;2000;#N/A;O3NaXMp0MMsC;2eOI0ncAAAAJ
67;Pengaruh pemberian vitamin E dan beta-merkaptoetanol pada media terhadap angka fertilisasi dan perkembangan embrio sapi peranakan ongole in vitro;YH FIBRIANTO;Universitas Gadjah Mada;;0;1999;#N/A;M3NEmzRMIkIC;2eOI0ncAAAAJ
68;Pengaruh pemberian vitamin E dan B-merkaptoetanol pada media terhadap perkembangan embrio sapi peranakan ongole in vitro= Effect of vitamin E andB-mercaptoetanol on embryo …;YH Fibrianto, S Soebagyo, A Pratomo;Agrosains;12 (1999);0;1999;#N/A;Se3iqnhoufwC;2eOI0ncAAAAJ
69;The sheep trophoblast and placental function: An ultrastructural study.;T Budipitojo, YH Fibrianto, B Sumiarto, TJ McDonald, H Jornvall, ...;Asian Journal of Animal and Veterinary Advances;11 (9), 227-233;0;1979;#N/A;GnPB-g6toBAC;2eOI0ncAAAAJ
70;STRUCTURAL and FUNCTIONAL RECOVERY of Β-CELLS PANCREAS in TYPE 1 DIABETES MELLITUS INDUCED MESENHYMAL STEM CELL CONDITIONED MEDIUM;WS Nugroho, DL Kusindarta, H Susetya, I Fitriana, GT Mulyani, ...;Exploration and Conservation of Biodiversity;2;0;#N/A;#N/A;2P1L_qKh6hAC;2eOI0ncAAAAJ
71;ScienceCentral Journals;WS Nugroho, DL Kusindarta, H Susetya, I Fitriana, GT Mulyani, ...;;;0;#N/A;#N/A;BqipwSGYUEgC;2eOI0ncAAAAJ
72;Distribution of Ghrelin and It’s Receptor in the Stomach: Immunohistochemical Study on Obese Rats (Rattus norvegicus);T Budipitojo¹, H Wihadmadyatami¹, GR Aristya, YH Fibrianto, DR Nesti;;;0;#N/A;#N/A;isC4tDSrTZIC;2eOI0ncAAAAJ
73;Influence of the Number of Cumulus Cells and the Expression of LH Receptor, Caspase 3, and P53 in Various Patterns of Cumulus Cells with the Success in Oocyte Maturation in the …;A Amansyah, T Tanjung, YH Fibrianto, HS Siregar;;;0;#N/A;#N/A;L8Ckcad2t8MC;2eOI0ncAAAAJ
74;The Influence of the Captivity in Bottlenose Dolphin Erythrocytes Profile from The Waters of The Java Sea;GT Mulyani, YH Fibrianto, T Budipitojo;Jurnal Sain Veteriner;30 (1;0;#N/A;#N/A;9ZlFYXVOiuMC;2eOI0ncAAAAJ
75;Morphological Assessment of Ovulated and In Vitro Immature Canine Oocytes and Biological Availability according to the Size at Different Reproductive Stages;H Mohammad-Shamim, K Min-Kyu, J Goo, F Yuda-Heru, O Huyn-Joo, ...;Reproductive and Developmental Biology;3;0;#N/A;#N/A;4DMP91E08xMC;2eOI0ncAAAAJ
76;Decreasing SDF1-CXCR4 Expression after Adipose-Derived Mesenchymal Stem Cells (ASCS) Treatment Combined with Freeze-Dried Amniotic Membrane Wrapping in Rat Sciatic Nerve Injury;P Utomo, MA Widodo, N Permatasari, YH Fibrianto;;;0;#N/A;#N/A;qxL8FJ1GzNcC;2eOI0ncAAAAJ
77;D’Ávila Assumpção, MEO 161 Dalcik, H. 211 DAngelo, M. 287 Daniaux, C. 188;T Davidson, L Che, YE Chen, HT Cheong, HT Cheong, P Chesta, EJ Cho, ...;Burns;1000, 28;0;#N/A;#N/A;_FxGoFyzp5QC;2eOI0ncAAAAJ
78;Kuantitas Dan Kualitas Sel Telur Anjing Lokal Dari Berbagai Stadium Estrus;YH Fibrianto, TW Pangestiningsih, A Hanna, P Astuti, CMM Airin, ...;Jurnal Sain Veteriner;26 (1;0;#N/A;#N/A;ufrVoPGSRksC;2eOI0ncAAAAJ
79;Development of Intergeneric Canine Embryo Using Bovine and Porcine Oocyte as Cytoplasm Recipient;YH Fibrianto;Indonesian Journal of Biotechnology;10 (1), 801-80;0;#N/A;#N/A;Y0pCki6q_DkC;2eOI0ncAAAAJ
80;Effect of Culture Medium Supplementation with b-mercaptoethanol and Amino Acid on Canine Intergeneric Embryo Development with Porcine Oocyte Cytoplasm Recipient;YH Fibrianto;Indonesian Journal of Biotechnology;12 (1;0;#N/A;#N/A;zYLM7Y9cAGgC;2eOI0ncAAAAJ
81;The Heart Activities in Some Environmental Temperature on the Rats (Rattus norvegicus);A Hana, P Astuti, YH Fibrianto, S Sarmin, CM Airin;Jurnal Sain Veteriner;30 (2;0;#N/A;#N/A;u5HHmVD_uO8C;2eOI0ncAAAAJ
