no;title;author;journal;number;cites;year;cid;pubid;id
1;Methodologi research;S Hadi;Jajasan Penerbitan FIP-IKIP;;6233;1967;11716161436817707625,1360368405414998196,6022131744748098078;u5HHmVD_uO8C;2C4UV_EAAAAJ
2;Metodologi research jilid I;S Hadi;Yogyakarta: Andi;94, 95;1840;2004;13664452445590334803;u-x6o8ySG0sC;2C4UV_EAAAAJ
3;Analisis regresi;S Hadi;Penerbit Andi;;1031;2004;9463192473232692666;9yKSN-GCB0IC;2C4UV_EAAAAJ
4;Statistik jilid 2;S Hadi;Yogyakarta: Andi;;797;2004;17592276369835864312;d1gkVwhDpl0C;2C4UV_EAAAAJ
5;Metode research;S Hadi;Yogyakarta: Andi Offset;;583;1987;1867051372860126081;2osOgNQ5qMEC;2C4UV_EAAAAJ
6;Analisis butir untuk instrumen;S Hadi;Yogyakarta: Andi Offset;;453;1991;9704054283456161104;qjMakFHDy7sC;2C4UV_EAAAAJ
7;Metodologi riset;S Hadi;Yogyakarta: Pustaka Pelajar;;359;2015;10466733076011586678;UeHWp8X0CEIC;2C4UV_EAAAAJ
8;Pendidikan Matematika Realistik;S Hadi;PT RajaGrafindo Persada;;348;2017;7136538095976388194;zYLM7Y9cAGgC;2C4UV_EAAAAJ
9;Statistik jilid II;S Hadi;Yogyakarta: Andi Offset;;274;2000;6433298765368186274;hx4mni8B3JkC;2C4UV_EAAAAJ
10;Metodologi Penelitian Kuantitatif untuk Akuntansi dan Keuangan;S Hadi;Yogyakarta: Ekonisia;365-383;262;2006;12160752231473944085;DGzKIA18-3YC;2C4UV_EAAAAJ
11;Metode Research Jilid I;S Hadi;Penerbit Andi, Yogyakarta;;162;2000;4748450687344122747;Tyk-4Ss8FVUC;2C4UV_EAAAAJ
12;Land subsidence of Jakarta (Indonesia) and its geodetic monitoring system;HZ Abidin, R Djaja, D Darmawan, S Hadi, A Akbar, H Rajiyowiryono, ...;Natural Hazards;23 (2-3), 365-387;146;2001;6292196560197268279;OP4eGU-M3BUC;2C4UV_EAAAAJ
13;Pendidikan Suatu Pengantar;S Hadi;Surakarta: Sebelas Maret University Press Surakarta;;134;2003;17904151957103545787;C5mqfHIFIucC;2C4UV_EAAAAJ
14;Reforming mathematics learning in Indonesian classrooms through RME;RK Sembiring, S Hadi, M Dolk;ZDM;40 (6), 927-939;116;2008;16735198153906910849;YsMSGLbcyi4C;2C4UV_EAAAAJ
15;Initial studies on alkaloids from Lombok medicinal plants;S Hadi, J Bremner;Molecules;6 (2), 117-129;114;2001;9245433767655208975;D_tqNUsBuKoC;2C4UV_EAAAAJ
16;Bung Karno: penyambung lidah rakyat Indonesia;CH Adams, AB Salim;Gunung Agung;;111;1966;6439275670799505200;1DsIQWDZLl8C;2C4UV_EAAAAJ
17;Metodologi Research (Jilid 1-4);S Hadi;Yogyakarta: Penerbit Andi Yogyakarta;;106;2000;8854091279124161109;D90uR9ClOh8C;2C4UV_EAAAAJ
18;Metodogi Research;S Hadi;Yayasan Penerbitan Fakultas Psikologi Universitas Gajah Mada. Yoyakarta;;86;1981;1747511698129399096;r5WMYYrv30cC;2C4UV_EAAAAJ
19;Methodologi research: untuk penulisan paper, skripsi, thesis dan disertasi;S Hadi;Penerbit Andi Offset;;81;1995;7666342324293977562,14099801995580975284;W7OEmFMy1HYC;2C4UV_EAAAAJ
20;Formation of a weak vortex;HO Anwar;Journal of Hydraulic Research;4 (1), 1-16;79;1966;15662000083148219828;csTP5AdqY_wC;2C4UV_EAAAAJ
21;Effective teacher professional development for the implementation of realistic mathematics education in Indonesia;S Hadi;University of Twente [Host];;78;2002;330705824564372361;eQOLeE2rZwMC;2C4UV_EAAAAJ
22;Baharuddin., & Hayati, N.(2017). The Development of Interactive Multimedia Learning Pyramid and Prism for Junior High School Using Macromedia Authorware;J Dalle, S Hadi;The Turkish Online Journal of Educational Technology;714-72;77;#N/A;11985769153064132715;zmHQPunddckC;2C4UV_EAAAAJ
23;Metodologi Penelitian Pendidikan;A Safi'i;Penerbit eLKAF;;75;2005;3045164402835994578;m03se8k-GH0C;2C4UV_EAAAAJ
24;Metodologi research untuk penulisan paper, skripsi;S Hadi;Thesis dan Disertasi. Yogyakarta: Andi;;71;2001;13065456181281485373;adHtZc2wMuEC;2C4UV_EAAAAJ
25;Vocational High School Teachers' Difficulties in Implementing the Assessment in Curriculum 2013 in Yogyakarta Province of Indonesia.;H Retnawati, S Hadi, AC Nugraha;International Journal of Instruction;9 (1), 33-48;67;2016;466913011647070830;sszUF3NjhM4C;2C4UV_EAAAAJ
