no;title;author;journal;number;cites;year;cid;pubid;id
1;The ASYMMETRIC LEAVES2 gene of Arabidopsis thaliana regulates formation of a symmetric lamina, establishment of venation and repression of meristem-related homeobox genes in leaves;E Semiarti, Y Ueno, H Tsukaya, H Iwakawa, C Machida, Y Machida;Development;128 (10), 1771-1783;431;2001;11439871334314753353;u5HHmVD_uO8C;Z9KwPZEAAAAJ
2;The ASYMMETRIC LEAVES2 gene of Arabidopsis thaliana, required for formation of a symmetric flat leaf lamina, encodes a member of a novel family of proteins characterized by …;H Iwakawa, Y Ueno, E Semiarti, H Onouchi, S Kojima, H Tsukaya, ...;Plant and Cell Physiology;43 (5), 467-478;347;2002;12302733444099934430;u-x6o8ySG0sC;Z9KwPZEAAAAJ
3;Expression of the ASYMMETRIC LEAVES2 gene in the adaxial domain of Arabidopsis leaves represses cell proliferation in this domain and is critical for the …;H Iwakawa, M Iwasaki, S Kojima, Y Ueno, T Soma, H Tanaka, E Semiarti, ...;The Plant Journal;51 (2), 173-184;147;2007;18348963351992381018;d1gkVwhDpl0C;Z9KwPZEAAAAJ
4;Characterization of the transposition pattern of the Ac element in Arabidopsis thaliana using endonuclease I-SceI;C Machida, H Onouchi, J Koizumi, S Hamada, E Semiarti, S Torikai, ...;Proceedings of the National Academy of Sciences;94 (16), 8675-8680;76;1997;3566433110486906222;9yKSN-GCB0IC;Z9KwPZEAAAAJ
5;Agrobacterium-mediated transformation of the wild orchid species Phalaenopsis amabilis;E Semiarti, A Indrianto, A Purwantoro, S Isminingsih, N Suseno, ...;Plant Biotechnology;24 (3), 265-272;53;2007;18160900180926658837;2osOgNQ5qMEC;Z9KwPZEAAAAJ
6;Improvement of shelf life quality of green bell peppers using edible coating formulations;E Ochoa-Reyes, G Martínez-Vazquez, S Saucedo-Pompa, J Montañez, ...;The Journal of Microbiology, Biotechnology and Food Sciences;2 (6), 2448;25;2013;5716909310522566670;TQgYirikUcIC;Z9KwPZEAAAAJ
7;High-frequency genetic transformation of Phalaenopsis amabilis orchid using tomato extract-enriched medium for the pre-culture of protocorms;E Semiarti, A Indrianto, YH Purwantoro, INA Martiwi, YML Feroniasanti, ...;The Journal of Horticultural Science and Biotechnology;85 (3), 205-210;20;2010;16671746093884162988;UeHWp8X0CEIC;Z9KwPZEAAAAJ
8;Konservasi anggrek alam Indonesia Vanda tricolor Lindl. varietas Suavis melalui kultur embrio secara in-vitro;R Dwiyani, A Purwantoro, A Indrianto, E Semiarti;Bumi Lestari Journal of Environment;12 (1), 93-98;13;2012;17931340969871554405;hC7cP41nSMkC;Z9KwPZEAAAAJ
9;Peningkatan Kecepatan Pertumbuhan EmbrioAnggrek Vanda tricolor Lindl. Pada Medium diperkaya dengan Ekstrak Tomat;R Dwiyani, A Purwantoro, A Indrianto, E Semiarti;Seminar Nasional Biologi XX dan Kongres Perhimpunan Biologi Indonesia XIV di …;;10;2009;7983662050148274878;p2g8aNsByqUC;Z9KwPZEAAAAJ
10;Tolerance of accessions of glagah (Saccharum spontaneum) to drought stress and their accumulation of proline.;A Munawarti, E Semiarti, P Holford;American Journal of Agricultural and Biological Sciences;8 (1), 1-11;8;2013;13025434628158791982;e5wmG9Sq2KIC;Z9KwPZEAAAAJ
11;Induction of somatic embryogenesis through overexpression of AtRKD4 genes in Phalaenopsis “sogo vivien”;E Mursyanti, A Purwantoro, S Moeljopawiro, E Semiarti;Indonesian journal of biotechnology;20 (1), 42-53;7;2015;3505315411625788753;4OULZ7Gr8RgC;Z9KwPZEAAAAJ
12;Agrobacterium-mediated transformation of Indonesian orchids for micropropagation;E Semiarti, A Indrianto, A Purwantoro, Y Machida, C Machida;InTech;1, 215-240;7;2011;13009557431435949143;hqOjcs7Dif8C;Z9KwPZEAAAAJ
13;Characterization of moaC and a nontarget gene fragments of food‐borne pathogen Alcaligenes sp. JG3 using degenerate colony and arbitrary PCRs;SN Ethica, E Semiarti, J Widada, O Oedjijono, T Joko Raharjo;Journal of food safety;37 (4), e12345;5;2017;6674790449721961122;738O_yMBCRsC;Z9KwPZEAAAAJ
14;Morphological And Biochemical Responses Of Saccharum Spontaneum L. Accessions To Drought Stress;A Munawarti, T Taryono, E Semiarti, S Sismindari;Journal of Tropical Life Science;4 (1), 61-66;5;2014;5046021463595002441;VOx2b1Wkg3QC;Z9KwPZEAAAAJ
15;Roles of the ASYMMETRIC LEAVES2 gene in floral organ development in Arabidopsis thaliana;S Keta, H Iwakawa, M Ikezaki, E Semiarti, S Kojima, Y Machida, ...;Plant Biotechnology;29 (1), 1-8;5;2012;18143982492551733338;Tyk-4Ss8FVUC;Z9KwPZEAAAAJ
16;Mikropropagasi Tanaman Anggrek Vanda tricolor Lindl. var. suavis forma Bali yang Membawa Gen KNOTTED1-LIKE Arabidopsis thaliana (KNAT1);R DWIYANI;Universitas Gadjah Mada;;5;2012;1804805463270843342;WF5omc3nYNoC;Z9KwPZEAAAAJ
17;The transposition pattern of the Ac element in tobacco cultured cells;E Semiarti, H Onouchi, S Torikai, T Ishikawa, Y Machida, C Machida;Genes & genetic systems;76 (2), 131-139;5;2001;3578986971332325761;qjMakFHDy7sC;Z9KwPZEAAAAJ
