no;title;author;journal;number;cites;year;cid;pubid;id
1;Hidrologie terapan;B Triatmodjo;Beta Offset;;853;2010;16882189814029907715;d1gkVwhDpl0C;Z8eHd5oAAAAJ
2;Teknik pantai;B Triatmodjo;Beta Offset, Yogyakarta;397;573;1999;8133841458640702702;u5HHmVD_uO8C;Z8eHd5oAAAAJ
3;Hidraulika II;B Triatmodjo;Yogyakarta: Beta Offset;;265;1993;5689582642988089083;u-x6o8ySG0sC;Z8eHd5oAAAAJ
4;Perencanaan pelabuhan;B Triatmodjo;Beta Offset. Yogyakarta;490;206;2010;87342049767655628;9yKSN-GCB0IC;Z8eHd5oAAAAJ
5;Pelabuhan;B Triatmodjo;Yogyakarta: Beta Offset;;138;1996;11010844813667751358;ZeXyd9-uunAC;Z8eHd5oAAAAJ
6;Metode Numerik;B Triatmodjo;Fakultas Teknik, Universitas Gajah Mada, Yogyakarta;;121;2002;8968056439959863029;2osOgNQ5qMEC;Z8eHd5oAAAAJ
7;Perencanaan bangunan pantai;B Triatmodjo;Beta Offset;;91;2006;13404851587766656340;8k81kl-MbHgC;Z8eHd5oAAAAJ
8;Hidrolika I;B Triatmodjo;Beta Offset. Yogyakarta;;22;2007;14666110949427816185;aqlVkmm33-oC;Z8eHd5oAAAAJ
9;Analisis Kapasitas Pelayanan Terminal Peti Kemas Semarang;B Triatmodjo;Makalah untuk Seminar Nasional-;-1 BMPTTSSI–KoNTekS 5, 14;7;2011;11120128719254854708;4TOpqqG69KYC;Z8eHd5oAAAAJ
10;Studi Keseimbangan Air Di Sws Pemali-Comal;B Triatmodjo;Forum Teknik;24 (2000);3;2000;14200178214915175174;Se3iqnhoufwC;Z8eHd5oAAAAJ
11;Studi keseimbangan air di pulau Jawa;B Triatmodjo;Media Teknik;20 (1998);2;1998;7132778395938916516;YsMSGLbcyi4C;Z8eHd5oAAAAJ
12;Studi keseimbangan air di sub sws Cimanuk;B Triatmodjo;Media Teknik;20 (1998);2;1998;6420349868550673011;Tyk-4Ss8FVUC;Z8eHd5oAAAAJ
13;Pengembangan sumberdaya air di das Bogowonto Cokroyasan;B Triatmodjo;Forum Teknik;22 (1998);2;1998;2725698005999985276;UeHWp8X0CEIC;Z8eHd5oAAAAJ
14;Wave-Induced pressure distribution on placed perforated revetment block;MS Permana, B Triatmodjo, N Yuwono;Procedia engineering;170, 443-450;1;2017;14981376074381702332;qxL8FJ1GzNcC;Z8eHd5oAAAAJ
15;Optimalisasi Kinerja Terminal Peti Kemas Pelabuhan Pontianak;B Hartanto, B Triatmodjo, I Muthohar;Universitas Gadjah Mada;;1;2015;16904404444884979748;MXK_kJrjxJIC;Z8eHd5oAAAAJ
16;Evaluasi Sistem Mitigasi Penanganan Bencana Gempabumi di Kecamatan Bantul Propinsi Daerah Istimewa YOGYAKARTA;LK Indah, B Triatmodjo, R Triatmadja;Civil Engineering Forum Teknik Sipil;18 (3), 959-971;1;2009;10471176021753451167;ufrVoPGSRksC;Z8eHd5oAAAAJ
17;Tsunami Disaster Preparedness Simulation on North Buton Regency;J Sanjaya;Journal of the Civil Engineering Forum;4 (2), 169-180;0;2018;#N/A;L8Ckcad2t8MC;Z8eHd5oAAAAJ
18;Pengaruh Kondisi Awal Kelengasan Tanah Terhadap Debit Puncak Hidrograf Satuan;S Sasmito, B Triatmodjo, J Sujono, B Sri Harto;Jurnal Teknik Sipil;13 (3), 228-239;0;2017;#N/A;mVmsd5A6BfQC;Z8eHd5oAAAAJ
19;OPTIMASI GEOMETRI SISTEM AKUISISI CITRA STEREO UNTUK MENGUKUR PARAMETER-PARAMETER FISIS GELOMBANG LAUT;B Triatmodjo;;;0;2012;#N/A;UebtZRa9Y70C;Z8eHd5oAAAAJ
20;Beach Nourishment Respons At Behind Submerged Structure;B Triatmodjo, N Yuwono, C Paotonan;LPPM UMS;;0;2012;#N/A;QIV2ME_5wuYC;Z8eHd5oAAAAJ
21;Analisis limpasan langsung dengan model distribusi dan komposit;P Harsanto, BA Kironoto, B Triatmodjo;Civil Engineering Forum Teknik Sipil;18 (1), 693-701;0;2009;#N/A;roLk4NBRz8UC;Z8eHd5oAAAAJ
22;Perilaku Banjir Kanal Barat dan Cengkareng Floodway serta kontribusinya terhadap fenomena banjir Jakarta (The Behavior of Cengkareng Floodway and Western Banfir Kenai and their …;D Legono, B Triatmodjo, AP Rahardjo;Forum Teknik;26 (2002);0;2002;#N/A;eQOLeE2rZwMC;Z8eHd5oAAAAJ
23;Penggunaan metode interpolasi polinomial untuk mendapatkan ketelitian tinggi dalam penyelesaian persamaan transpor;B Triatmodjo;Forum Teknik;25 (2001);0;2001;#N/A;ULOm3_A8WrAC;Z8eHd5oAAAAJ
24;Studi penanggulangan endapan di muara-muara sungai di pantai selatan diy dan Jawa Tengah;B Triatmodjo;Forum Teknik;24 (2000);0;2000;#N/A;hqOjcs7Dif8C;Z8eHd5oAAAAJ
25;Studi pengembangan sumberdaya air di propinsi nusa tenggara timur;B Triatmodjo;Forum Teknik;22 (1998);0;1998;#N/A;_FxGoFyzp5QC;Z8eHd5oAAAAJ
26;Model dasar erosi-pengendapan;B Triatmodjo;Forum Teknik;20 (1997);0;1997;#N/A;LkGwnXOMwfcC;Z8eHd5oAAAAJ
27;Model satu dimensi intrusi air asin di estuari;B Triatmodjo;Forum Teknik;21 (1997);0;1997;#N/A;zYLM7Y9cAGgC;Z8eHd5oAAAAJ
28;Model satu dimensi vertikal distribusi suspensi di Estuari Belawan;B TRiatmodjo;Media Teknik;13 (1991);0;1991;#N/A;WF5omc3nYNoC;Z8eHd5oAAAAJ
29;Studi penanggulangan erosi pantai Buleleng dan penyumbatan muara Tukad Buleleng;B Triatmodjo;Media Teknik;12 (1990);0;1990;#N/A;W7OEmFMy1HYC;Z8eHd5oAAAAJ
30;INFLUENCE OF RECTANGULAR LAY-OUT FORM OF UNDERWATER SILL TO THE FLOW PATTERNS AND ITS SEDIMENT TRANSPORT;TE Bhakty, N Yuwono, R Triatmadja, B Triatmodjo;;;0;#N/A;#N/A;7PzlFSSx8tAC;Z8eHd5oAAAAJ
31;INFLUENCE OF UNDERWATER SILL LAYOUT AGAINST FLOW PATTERNS IN ORDER TO REDUCE SEDIMENTATION IN NAVIGATION CHANNEL AND BASINS;TE Bhakty, TS Putri, N Yuwono, R Triatmadja, B Triatmodjo;;;0;#N/A;#N/A;dhFuZR0502QC;Z8eHd5oAAAAJ
32;Optimasi Tata Guna Lahan Dan Penerapan Rekayasa Teknik Dalam Analisa Banjir Di Daerah Aliran Sungai: Studi Kasus Daerah Aliran Sungai Ciliwung Hulu Di Bendung Katulampa (the …;YL Handayani, R Jayadi, B Trihatmodjo;Jurnal Manusia dan Lingkungan;12 (2), 53-6;0;#N/A;#N/A;Wp0gIr-vW9MC;Z8eHd5oAAAAJ
33;the simple analitycal solution of wave transmision through on submerged coastal structure;C Paotonan, N Yuwono, R Triatmadja, B Triatmodjo;;;0;#N/A;#N/A;4DMP91E08xMC;Z8eHd5oAAAAJ
34;METODOLOGI PENENTUAN PARAMETER TEKNIS GEOTEXTILE TUBE (GEOTUBE) SEBAGAI STRUKTUR PELINDUNG PANTAI;C Paotonan, B Triatmodjo, N Yuwono;;;0;#N/A;#N/A;_kc_bZDykSQC;Z8eHd5oAAAAJ
