no;title;author;journal;number;cites;year;cid;pubid;id
1;Fuzzy Multi-Attribute Decision Making (Fuzzy MADM);S Kusumadewi, S Hartati, A Harjoko, R Wardoyo;Yogyakarta: Graha Ilmu;78-79;1087;2006;6007622017498764110;u5HHmVD_uO8C;I4L3bJQAAAAJ
2;Neuro-Fuzzy: Integrasi Sistem Fuzzy dan Jaringan Syaraf;S Kusumadewi, S Hartati;Yogyakarta: Graha Ilmu;;313;2006;204800025427036205;u-x6o8ySG0sC;I4L3bJQAAAAJ
3;Sistem pakar dan pengembangannya;S Hartati, S Iswanti;Yogyakarta: Graha Ilmu;;187;2008;1316932734709962449;d1gkVwhDpl0C;I4L3bJQAAAAJ
4;Hubungan antara efektivitas komunikasi mahasiswa-dosen pembimbing utama skripsi dengan stres dalam menyusun skripsi pada mahasiswa Program Studi Psikologi Fakultas Kedokteran …;R Gunawati;Universitas Diponegoro;;83;2005;7646326007008020535;uoRD4RTSUPoC;I4L3bJQAAAAJ
5;Fuzzy Multi-Attribute Decision Making (Fuzzy MADM);K Sri, H Sri, H Agus, W Retantyo;Graha Ilmu. Yogyakarta;;40;2006;7141044422285888493;MSzX15-gZgkC;I4L3bJQAAAAJ
6;Convenience and Medical Patient Database Benefits and Elasticity for Accessibility Therapy in Different Locations;BE Purnama, S Hartati;IJACSA) International Journal of Advanced Computer Science and Applications …;;38;2012;6992574833546327455;9yKSN-GCB0IC;I4L3bJQAAAAJ
7;Overexpression of poplar cellulase accelerates growth and disturbs the closing movements of leaves in sengon;S Hartati, E Sudarmonowati, YW Park, T Kaku, R Kaida, K Baba, ...;Plant physiology;147 (2), 552-561;36;2008;11926304177600910060;Nnq8S6OXqDYC;I4L3bJQAAAAJ
8;A method for iris recognition based on 1d coiflet wavelet;A Harjoko, S Hartati, H Dwiyasa;world academy of science, engineering and technology;56 (24), 126-129;35;2009;13477421069150740093;2osOgNQ5qMEC;I4L3bJQAAAAJ
9;Hubungan antara kecerdasan emosional dengan resiliensi pada siswa penghuni rumah damai;A Setyowati, S Hartati, DR Sawitri;Jurnal Psikologi;7 (1), 67-77;34;2010;16570551251207587188;ybfzIt2tCtgC;I4L3bJQAAAAJ
10;A fuzzy based decision support system for evaluating land suitability and selecting crops;S Hartati, ISM Sitanggang;Journal of Computer Science;6 (4), 417;26;2010;9195396470713539546;Y0pCki6q_DkC;I4L3bJQAAAAJ
11;Determination of the best quail eggs using simple additive weighting;S Abadi, M Huda, KA Jasmi, SSM Noor, J Safar, AK Mohamed, ...;International Journal of Engineering and Technology;7 (2.27), 225-230;24;2018;14711132166130792971;NKlx0PmyA3cC;I4L3bJQAAAAJ
