no;title;author;journal;number;cites;year;cid;pubid;id
1;UV-induced skin damage;M Ichihashi, M Ueda, A Budiyanto, T Bito, M Oka, M Fukunaga, K Tsuru, ...;Toxicology;189 (1-2), 21-39;894;2003;10643977078090985796;3fE2CSJIrl8C;xfQZcxcAAAAJ
2;Protective effect of topically applied olive oil against photocarcinogenesis following UVB exposure of mice;A Budiyanto, NU Ahmed, A Wu, T Bito, O Nikaido, T Osawa, M Ueda, ...;Carcinogenesis;21 (11), 2085-2090;143;2000;14594569748309830225;kNdYIx-mwKoC;xfQZcxcAAAAJ
3;8-Oxoguanine formation induced by chronic UVB exposure makes Ogg1 knockout mice susceptible to skin carcinogenesis;M Kunisada, K Sakumi, Y Tominaga, A Budiyanto, M Ueda, M Ichihashi, ...;Cancer research;65 (14), 6006-6010;130;2005;8719702689625981176;KlAtU1dfN6UC;xfQZcxcAAAAJ
4;Preventive effect of antioxidant on ultraviolet-induced skin cancer in mice;M Ichihashi, NU Ahmed, A Budiyanto, A Wu, T Bito, M Ueda, T Osawa;Journal of Dermatological Science;23, S45-S50;107;2000;6266691102147207700;Zph67rFs4hoC;xfQZcxcAAAAJ
5;Involvement of EGF receptor activation in the induction of cyclooxygenase‐2 in HaCaT keratinocytes after UVB;M Ashida, T Bito, A Budiyanto, M Ichihashi, M Ueda;Experimental dermatology;12 (4), 445-452;59;2003;12989094229360067940;ULOm3_A8WrAC;xfQZcxcAAAAJ
6;Decreased expression of Apaf‐1 with progression of melanoma;R Mustika, A Budiyanto, C Nishigori, M Ichihashi, M Ueda;Pigment cell research;18 (1), 59-62;50;2005;7443156791224228901;YOwf2qJgpHMC;xfQZcxcAAAAJ
7;Inhibition of the epidermal growth factor receptor suppresses telomerase activity in HSC-1 human cutaneous squamous cell carcinoma cells;A Budiyanto, T Bito, M Kunisada, M Ashida, M Ichihashi, M Ueda;Journal of investigative dermatology;121 (5), 1088-1094;47;2003;11388011535422084480;_kc_bZDykSQC;xfQZcxcAAAAJ
8;Formation of Cyclobutane Pyrimidine Dimers and 8‐Oxo‐7, 8‐dihydro‐2′‐deoxyguanosine in Mouse and Organ‐cultured Human Skin by Irradiation with Broadband or with Narrowband UVB¶;A Budiyanto, M Ueda, T Ueda, M Ichihashi;Photochemistry and photobiology;76 (4), 397-400;37;2002;488745589682879298;4TOpqqG69KYC;xfQZcxcAAAAJ
9;Detection of zearalenone and its metabolites in naturally contaminated follicular fluids by using LC/MS/MS and in vitro effects of zearalenone on oocyte maturation in cattle;M Takagi, S Mukai, T Kuriyagawa, K Takagaki, S Uno, E Kokushi, T Otoi, ...;Reproductive Toxicology;26 (2), 164-169;28;2008;15409634555320813832;1qzjygNMrQYC;xfQZcxcAAAAJ
10;Inhibition of epidermal growth factor receptor and PI3K/Akt signaling suppresses cell proliferation and survival through regulation of Stat3 activation in human cutaneous …;T Bito, N Sumita, M Ashida, A Budiyanto, M Ueda, M Ichihashi, Y Tokura, ...;Journal of skin cancer;2011;27;2011;9825603309870441611;aqlVkmm33-oC;xfQZcxcAAAAJ
11;Relationship between DNA fragmentation and nuclear status of in vitro-matured porcine oocytes: role of cumulus cells;P Wongsrikeao, T Otoi, M Murakami, NWK Karja, A Budiyanto, ...;Reproduction, Fertility and Development;16 (8), 773-780;22;2005;1930900147892721919;dshw04ExmUIC;xfQZcxcAAAAJ
12;Retinoic acid suppresses telomerase activity in HSC‐1 human cutaneous squamous cell carcinoma;M Kunisada, A Budiyanto, T Bito, C Nishigori, M Ueda;British Journal of Dermatology;152 (3), 435-443;19;2005;1091301029948194103;M3ejUd6NZC8C;xfQZcxcAAAAJ
13;Low-dose ultraviolet B radiation synergizes with TNF-α to induce apoptosis of keratinocytes;K Tsuru, T Horikawa, A Budiyanto, I Hikita, M Ueda, M Ichihashi;Journal of dermatological science;26 (3), 209-216;18;2001;15948201166044533581;qxL8FJ1GzNcC;xfQZcxcAAAAJ
14;Topical timolol maleate 0.5% for infantile hemangioma: its effectiveness compared to ultrapotent topical corticosteroids-a single-center experience of 278 cases;R Danarti, L Ariwibowo, S Radiono, A Budiyanto;Dermatology;232 (5), 566-571;15;2016;14042428824608941172;r0BpntZqJG4C;xfQZcxcAAAAJ
15;Studi indeks larva nyamuk Aedes aegypti dan hubungannya dengan PSP masyarakat tentang penyakit DBD di Kota Palembang Sumatera Selatan tahun 2005;A Budiyanto, S Santoso, D Purnama, RI Pahlepi;Buletin Loka Litbang P;P2B2 Baturaja 1 (1);14;2007;12670186156233069182;70eg2SAEIzsC;xfQZcxcAAAAJ
16;Effect of cycloheximide on in vitro development of electrically activated feline oocytes;NWK KARJA, T OTOI, M MURAKAMI, P WONGSRIKEAO, A BUDIYANTO, ...;Journal of Reproduction and Development;51 (6), 783-786;12;2005;5859856474276563397;Tiz5es2fbqcC;xfQZcxcAAAAJ
17;Isolation and Identification of Potential Cytotoxic Compound from Kembang bulan [Tithonia diversifolia (Hemsley) A. Gray] Leaves;MSH Wahyuningsih, MA Wijayanti, A Budiyanto, M Hanafi;Int J Pharm Pharm Sci;7 (6), 298-301;9;2015;7069743113302099892;isC4tDSrTZIC;xfQZcxcAAAAJ
18;Perbedaan warna kontainer berkaitan dengan keberadaan jentik Aedes aegypti di Sekolah Dasar;A Budiyanto;Jurnal Biotek Medisiana Indonesia;1 (2), 63-71;9;2012;11141396083893485493;O3NaXMp0MMsC;xfQZcxcAAAAJ
19;Hubungan Pengetahuan Sikap dan Perilaku (PSP) Masyarakat Terhadap Vektor DBD di Kota Palembang Provinsi Sumatera Selatan;S Santoso, A Budiyanto;Jurnal Ekologi Kesehatan;7 (2 Agt);9;2008;13827825907421472642;lSLTfruPkqcC;xfQZcxcAAAAJ
20;Decrease of antioxidants and the formation of oxidized diacylglycerol in mouse skin caused by UV irradiation;Y Tanino, A Budiyanto, M Ueda, A Nakada, WT Nyou, M Yanagisawa, ...;Journal of Dermatological Science Supplement;1 (2), S21-S28;9;2005;10833365187552078454;4DMP91E08xMC;xfQZcxcAAAAJ
21;Sebaran nyamuk Anopheles pada topografi wilayah yang berbeda di Provinsi Jambi;Y Taviv, A Budiyanto, H Sitorus, LP Ambarita, R Mayasari;Media Penelitian dan Pengembangan Kesehatan;25 (2), 131-138;8;2015;16292137457003622073;HoB7MX3m0LUC;xfQZcxcAAAAJ
22;Platelet-rich fibrin lysate can ameliorate dysfunction of chronically UVA-Irradiated Human Dermal Fibroblasts;YW Wirohadidjojo, A Budiyanto, H Soebono;Yonsei medical journal;57 (5), 1282-1285;6;2016;852030864763253958;RHpTSmoSYBkC;xfQZcxcAAAAJ
23;ANALISIS TRADING VOLUME ACTIVITY (TVA) DAN ABNORMAL RETURN PADA SAHAM PERUSAHAAN-PERUSAHAAN YANG TERCATAT DALAM JAKARTA ISLAMIC INDEX (JII) SEBELUM DAN SETELAH BERGABUNG DENGAN JII;A Budiyanto, I Ismani, N Ngadirin;Jurnal Pendidikan Akuntansi Indonesia;5 (1);6;2012;8920688331016730536;l7t_Zn2s7bgC;xfQZcxcAAAAJ
24;karakteristik kontainer terhadap keberadaan Jentik Aedes aegypti di sekolah dasar;A Budiyanto;Jurnal Pembangunan Manusia;6 (1);6;2012;6837755295231305672;RYcK_YlVTxYC;xfQZcxcAAAAJ
25;Cellular Viability, Collagen Deposition, and Transforming Growth Factor β1 Production Among Ultraviolet B-Irradiated Keloid Fibroblasts;YW Wirohadidjojo, S Radiono, A Budiyanto, H Soebono;Aesthetic plastic surgery;35 (6), 1050-1055;6;2011;8009170048916255501;Wp0gIr-vW9MC;xfQZcxcAAAAJ
26;Konfirmasi Anopheles sinensis dan Anopheles vagus sebagai Vektor Malaria di Kabupaten Muara Enim Provinsi Sumatera Selatan;A Budiyanto, LP Ambarita, M Salim;ASPIRATOR-Jurnal Penelitian Penyakit Tular Vektor (Journal of Vector-borne …;;5;2017;16058136847033627284;dfsIfKJdRG4C;xfQZcxcAAAAJ
27;Tingkat Kerentanan Aedes aegypti (Linn.) terhadap Malation di Provinsi Sumatera Selatan;LP Ambarita, Y Taviv, A Budiyanto, H Sitorus, RI Pahlepi, F Febriyanto;Buletin Penelitian Kesehatan;43 (2), 97-104;5;2015;11461494237225391779;2P1L_qKh6hAC;xfQZcxcAAAAJ
