no;title;author;journal;number;cites;year;cid;pubid;id
1;Kimia farmasi analisis;IG Gandjar, A Rohman;Yogyakarta: Pustaka Pelajar;;599;2007;10768599876268929661;HtS1dXgVpQUC;x69pkFAAAAAJ
2;Kimia farmasi analisis;A Rohman, IG Gandjar;Yogyakarta: Pustaka Pelajar;298-304;313;2007;905854085838621283;OcBU2YAGkTUC;x69pkFAAAAAJ
3;Fourier transform infrared (FTIR) spectroscopy for analysis of extra virgin olive oil adulterated with palm oil;A Rohman, YBC Man;Food research international;43 (3), 886-892;263;2010;16695481305388606255;bKqednn6t2AC;x69pkFAAAAAJ
4;Analysis of pork adulteration in beef meatball using Fourier transform infrared (FTIR) spectroscopy;A Rohman, Y Erwanto, YBC Man;Meat Science;88 (1), 91-95;192;2011;16495418375997113880;ODE9OILHJdcC;x69pkFAAAAAJ
5;Antioxidant activity, total phenolic, and total flavaonoid of extracts and fractions of red fruit (Pandanus conoideus Lam);A Rohman, S Riyanto, N Yuniarti, WR Saputra, R Utami, W Mulatsih;International Food Research Journal;17 (1), 97-106;158;2010;917435774620867333;yFnVuubrUp4C;x69pkFAAAAAJ
6;Kromatografi untuk analisis obat;A Rohman;Graha Ilmu, Yogyakarta;1;114;2009;7569352722456981244;a3BOlSfXSfwC;x69pkFAAAAAJ
7;Analysis of cod‐liver oil adulteration using Fourier transform infrared (FTIR) spectroscopy;A Rohman, YB Che Man;Journal of the American Oil Chemists' Society;86 (12), 1149;87;2009;10425281310310750554;OR75R8vi5nAC;x69pkFAAAAAJ
8;The use of Fourier transform mid infrared (FT-MIR) spectroscopy for detection and quantification of adulteration in virgin coconut oil;A Rohman, YBC Man;Food Chemistry;129 (2), 583-588;77;2011;17204443785611431159;3htObqc8RwsC;x69pkFAAAAAJ
9;Differentiation of lard from other edible fats and oils by means of Fourier transform infrared spectroscopy and chemometrics;YB Che Man, A Rohman, TST Mansor;Journal of the American Oil Chemists' Society;88 (2), 187-192;66;2011;2190001959579314964;yMeIxYmEMEAC;x69pkFAAAAAJ
10;Daya antioksidan ekstrak etanol Daun Kemuning (Murraya paniculata (L) Jack) secara in vitro;A Rohman, S Riyanto;Majalah Farmasi Indonesia;16 (3), 136-140;63;2005;10112460726585086655;r_AWSJRzSzQC;x69pkFAAAAAJ
11;Analisis obat secara spektrofotometri dan kromatografi;IG Gandjar, A Rohman;Pustaka Pelajar, Yogyakarta;71-75;61;2012;12839829433333606952;3lUAU8Oskd0C;x69pkFAAAAAJ
